case_id,category,symptom,topology_note,show_outputs,expected_root_cause,osi_layer,severity,fix_steps,Concept_Tag
11,DHCP,"Client PCs configured for DHCP successfully obtain an automatic IPv4 address from the router's DHCP pool, but experience 100% packet loss and ""Request timed out"" when attempting to ping their 
default gateway or any remote networks.","Router0 (2911) connected to Switch0 via GigabitEthernet0/0; subnet 192.168.10.0/24; 
Router0 configured as DHCP server for VLAN 10, but the default-router command is missing from the DHCP pool configuration.",show running-config -> default-router statement missing from ip dhcp pool VLAN10_POOL; C:> ipconfig -> Default Gateway field is blank or missing.,"DHCP pool configuration is missing the default-router statement, leaving client PCs 
without a gateway address to forward traffic outside their local subnet",Layer 7,High,"configure terminal -> ip dhcp pool VLAN10_POOL -> default-router 
192.168.10.1 -> end -> copy running-config startup-config",Dynamic Host Configuration Protocol (DHCP) Service
12,Routing,Internal hosts in VLAN 10 can ping their local gateway but experience 100% packet loss when attempting to reach external networks or public servers.,"Router0 (2911) connected to Switch0 via Gi0/0 and WAN via Gi0/2 (10.0.0.1/30); missing 
default static route (0.0.0.0/0) on Router0.",show ip route -> Gateway of last resort is not set / missing 0.0.0.0/0 static route entry.,"The router lacks a default static route (0.0.0.0/0), preventing any outbound traffic
 destined for external networks from being forwarded.",Layer 3,High,"configure terminal -> ip route 0.0.0.0 0.0.0.0 10.0.0.2 -> end ->
 copy running-config startup-config",Static Routing & Default Gateway
13,Gateway,"Client PCs in VLAN 10 cannot reach their default gateway or other VLANs due to a subnet mismatch, resulting in 100% packet loss.","Router0 (2911) connected to Switch0 via Gi0/0; subinterface GigabitEthernet0/0.10 
configured with incorrect subnet mask 255.255.255.240.",show ip interface gigabitethernet0/0.10 -> Internet address is 192.168.10.1/28.,"Subinterface subnet mask mismatch restricts local gateway reachability for 
hosts on the /24 network.",Layer 3,High,"configure terminal -> interface gigabitethernet0/0.10 -> 
ip address 192.168.10.1 255.255.255.0 -> end -> copy running-config startup-config",Interface Subnetting & IP Addressing
14,VLAN,Inter-VLAN communication fails with 100% packet loss because router subinterfaces lack VLAN encapsulation mapping.,"Router0 (2911) connected to Switch0 via Gi0/0; subinterfaces GigabitEthernet0/0.10 and 
GigabitEthernet0/0.20 configured without encapsulation dot1q.",show running-config -> Subinterfaces show IP addresses but omit encapsulation dot1q configuration strings.,"Missing 802.1Q encapsulation on router subinterfaces prevents frames from being 
correctly tagged and routed between VLANs.",Layer 2,High,"configure terminal -> interface gigabitethernet0/0.10 -> 
encapsulation dot1Q 10 -> interface gigabitethernet0/0.20 -> encapsulation dot1Q 20 -> end -> copy running-config startup-config",802.1Q Encapsulation & Inter-VLAN Routing
15,VLAN,Cross-switch multi-VLAN traffic fails completely because the interconnect link is configured as an access port instead of a trunk.,Switch0 connected to Switch1 via an inter-switch link left in default access mode.,show interfaces switchport -> Administrative Mode is static access; Operational Mode is access.,"Missing trunk encapsulation mode on the switch-to-switch link prevents 802.1Q 
tagged frames from passing between switches.",Layer 2,High,"configure terminal -> interface fastethernet0/1 -> switchport mode 
trunk -> end -> copy running-config startup-config",802.1Q Trunking & Switch-to-Switch Connectivity
16,VLAN,Workstation cannot reach its gateway or subnet because its switch port is mapped to the wrong VLAN.,PC0 connected to Switch0 via FastEthernet0/2 assigned to default VLAN instead of VLAN 20.,show running-config interface fastethernet0/2 -> switchport access vlan 1 (mismatched).,"Incorrect VLAN assignment on the user access port prevents traffic from 
reaching the correct logical broadcast domain.",Layer 2,Medium,"interface fastethernet0/2 -> switchport mode access -> switchport 
access vlan 20 -> end -> copy running-config startup-config",VLAN Membership & Access Port Configuration
17,ACL,"Workstations cannot access web services (HTTP/HTTPS) due to restrictive packet filtering, despite successful ping connectivity.","Router0 subinterface GigabitEthernet0/0.10 has an active ACL blocking TCP ports 80 and 
443.",show access-lists -> 100 deny tcp any any eq www.," An overly restrictive Access Control List (ACL) rule blocks Layer 4 HTTP/HTTPS 
traffic between subnets.",Layer 3,High,"configure terminal -> no ip access-group 100 in -> no access-list 100 -> ip access-list extended 100 -> permit
 tcp any any eq www -> permit ip any any -> interface gigabitethernet0/0.10 -> ip access-group 100 in -> end -> copy running-config startup-config",Access Control List (ACL) Traffic Filtering
18,DHCP," New devices fail to receive IP addresses, receiving APIPA (169.254.x.x) addresses due to exhausted lease pools.",Router0 DHCP pool capacity is fully utilized with zero available addresses remaining.,show ip dhcp pool -> IP addresses leased: 254 (100%).,"DHCP pool exhaustion caused by a restricted subnet range or missing exclusion
 boundaries.",Layer 4 ,Medium,"ip dhcp pool VLAN20-Pool -> network 192.168.20.0
 255.255.255.0 -> lease 2 -> ip dhcp excluded-address 192.168.20.1 192.168.20.20 -> end -> copy running-config startup-config",DHCP Pool Depletion & Lease Management
19,Wireless,Wireless clients associate with the SSID but fail authentication and IP assignment due to security key/encryption mismatches.,Wireless-Laptop profile encryption parameters do not match WRT300N wireless settings.,PC Wireless status -> Authentication failed / IP configuration timeout (APIPA).,"Wireless security mode, encryption type, or pre-shared key mismatch 
between client profile and access point.",Layer 2,Medium,"Update wireless client profile -> Select matching SSID (CorpNet) -> 
Configure WPA2-PSK with AES encryption -> Enter correct pre-shared key -> Verify DHCP IP assignment.",Wireless LAN Security & Authentication Management 
20,VLAN,VLAN name or port description discrepancy causing documentation/management mismatches while data forwarding remains fully operational.,"Switch0 VLAN 20 database name or interface description does not match corporate naming 
standard.",VLAN 20 name differs from network documentation; show interfaces description -> Generic interface label.,Administrative documentation oversight or VLAN naming typo on the switch.,Layer 2,Low,"Access switch CLI -> Enter global configuration -> Update VLAN name to standard -> Update interface description 
-> Save configuration (copy running-config startup-config).",VLAN Administration & Naming Conventions
21,NAT,"Internal hosts fail to reach external networks due to missing or misconfigured NAT overload (PAT) rules, while local routing succeeds.","Router0 lacks proper interface NAT bindings (ip nat inside/outside) or dynamic source 
translation overload commands.",show ip nat translations -> Empty table; show ip nat statistics -> Zero active translations.,"Missing Network Address Translation Overload (PAT) configuration or incorrect inside/
outside interface assignments on the edge router.",Layer 3,High,"Access router CLI -> Define access list for internal subnet -> Configure ip nat inside source list interface 
overload -> Assign ip nat inside and ip nat outside to respective interfaces -> Save configuration.",Network Address Translation (NAT/PAT) Configuration
22,DNS,"Clients fail to resolve domain names to correct IP addresses due to static record typos, while direct IP communication succeeds.","Server0 or router contains a misconfigured static host mapping table entry pointing
 to an invalid IP address.",nslookup intranet.corp.local -> Non-existent domain / incorrect IP resolution.,Static DNS record typographical error or incorrect IP binding in the local name resolution table.,Layer 7,Low,"Access server/router CLI -> Remove incorrect host binding ->
 Configure correct ip host entry with valid server IP -> Save configuration.",Static DNS Record Management & Name Resolution
23,DHCP,"Workstations fail to acquire dynamic IP addresses, receiving APIPA addresses due to pool exhaustion or overlapping static IP assignments.","Router DHCP pool lacks proper excluded address ranges for static infrastructure IPs,
 causing allocation failures.",show ip dhcp binding / show ip dhcp pool -> Pool exhaustion or overlapping leases.,Missing or incorrectly configured ip dhcp excluded-address commands on the gateway router.,Layer 7,Medium,"Access router CLI -> Configure excluded address ranges ->
 Re-define DHCP pool -> Clear existing bindings -> Save configuration.",Dynamic Host Configuration Protocol & Address Pool Management
24,Gateway,Workstation communicates locally on the VLAN but cannot reach remote subnets or gateway due to an incorrect gateway IP configured on the host.,PC0 default gateway address is misconfigured with a typo (192.168.10.254 instead of 192.168.10.1).,ipconfig /all -> Default Gateway mismatch with router interface IP.,Incorrect default gateway IP address manually configured on the client host interface.,Layer 3,Low,"Access host IP configuration -> Update Default Gateway to match
 router interface IP -> Test ping connectivity.",Host IP Configuration & Default Gateway Management
25,Routing,Remote subnets unreachable due to an incorrect subnet mask configured on a static route.,Static route on Router0 has a subnet mask typo (255.255.0.0 vs 255.255.255.0).,show ip route -> Subnet mask mismatch on static route entry.,Typographical error in the subnet mask of a manually configured static route.,Layer 3,Medium,"Enter global config -> Remove bad static route (no ip route) ->
 Add correct static route -> Save config (copy running-config startup-config).",Static Routing & Subnet Mask Management
26,VLAN,Network experiences intermittent broadcast storms and loops due to unstable root bridge elections.,Redundant switches configured with default STP priorities causing election conflicts.,show spanning-tree -> Unstable root bridge role assignment across switches.,Missing or conflicting Spanning Tree Protocol (STP) priority configurations.,Layer 2,Medium,"Enter global config -> Configure explicit bridge priority (spanning-
tree vlan 1 priority 4096) -> Save config (copy running-config startup-config).",Spanning Tree Protocol (STP) Root Bridge Election
27,Gateway,PC0 and Server0 intermittently lose connectivity; ARP table shows flapping MAC addresses.,Two hosts manually configured with the same static IP.,show arp / arp -a -> Same IP mapped to two different MACs.,Duplicate IP assignment on the subnet.,Layer 3,Medium,"Check ARP cache -> Inspect IP configurations -> Reconfigure 
one host with a unique IP -> Verify with ping and arp -a.",IP Address Conflict Resolution
28,Wireless,Wireless clients experience frequent disconnections and slow throughput due to high interference.,Two APs configured on overlapping channels (both on channel 6).,Wireless survey / show ap channels -> High interference detected on channel 6.,Overlapping Wi-Fi channels causing co-channel interference.,Layer 1 ,Medium,"Inspect channel configuration -> Identify overlap -> Reconfigure
 one AP to use channel 1 or 11 -> Verify stable connectivity.",Wireless Channel Management
29,Wireless,Wireless clients cannot discover the SSID automatically due to broadcast suppression.,AP-Guest configured with SSID broadcast disabled.,GUI Wireless Settings -> SSID broadcast parameter set to Disabled.,SSID broadcast suppression causing minor onboarding friction.,Layer 2,Low,"Open Wireless Router GUI -> Navigate to Basic Wireless 
Settings -> Change SSID Broadcast to Enabled -> Click Save Settings -> Verify automatic network discovery via client site survey.",Wireless SSID Management
30,DNS,"Hostnames cannot be resolved, but IP connectivity works",PC has valid IP/gateway but incorrect DNS server configured,"ipconfig /all, nslookup",Incorrect DNS server address configured on client,Layer 7,Low,"Check DNS configuration -> Correct DNS server -> Test 
hostname resolution",DNS Client Configuration
